order,file_path,thumbnail,capture_uuid,page_uri,book_uri,source_rotated,width,height,source_x,source_y,source_w,source_h
44,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$45/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$45/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-44,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n44,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
45,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$46/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$46/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-45,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n45,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
46,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$47/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$47/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-46,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n46,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
47,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$48/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$48/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-47,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n47,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
48,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$49/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$49/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-48,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n48,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
49,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$50/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$50/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-49,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n49,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
50,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$51/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$51/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-50,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n50,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
51,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$52/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$52/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-51,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n51,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
52,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$53/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$53/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-52,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n52,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
53,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$54/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$54/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-53,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n53,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
54,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$55/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$55/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-54,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n54,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
