order,file_path,thumbnail,capture_uuid,page_uri,book_uri,source_rotated,width,height,source_x,source_y,source_w,source_h
1183,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1184/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1184/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1183,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1183,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1184,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1185/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1185/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1184,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1184,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1185,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1186/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1186/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1185,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1185,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1186,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1187/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1187/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1186,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1186,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1187,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1188/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1188/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1187,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1187,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1188,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1189/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1189/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1188,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1188,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1189,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1190/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1190/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1189,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1189,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1190,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1191/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1191/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1190,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1190,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1191,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1192/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1192/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1191,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1191,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1192,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1193/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1193/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1192,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1192,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
